1439,6
1440,3048
1441,550
1442,86
1445,4278
1446,7525
1448,108
1449,1956
1451,9523
1453,2423
1456,3169
1460,1946
1461,14141
1466,4457
1478,388
1482,1352
1484,688
1485,1460
1486,4700
1488,887
1490,169
1491,126
1494,14040
1495,5720
1496,169
1497,81
1499,106
1500,901
1501,25
1504,17
1505,5
1506,5
1507,5
1508,671
1509,846
1513,941
1514,2404
1519,79
1520,6899
1523,1697
1525,13659
1526,745
1527,802
1528,674
1529,1575
1530,9765
1536,524
1537,24802
1538,4
1540,2959
1541,106
1542,3846
1543,315
1544,1639
1545,2117
1546,1943
1547,37
1548,1069
1549,903
1550,2347
1551,6
1552,336
1553,234
1556,2734
1557,4371
1558,2017
1559,194
1560,5923
1563,586
1564,306
1565,224
1566,6778
1567,1238
1568,1922
1569,12
1570,2904
1571,1195
1573,4170
1575,6323
1576,10245
1577,2920
1578,407
1579,1279
1580,455
1581,699
1583,4838
1585,572
1586,389
1587,1300
1588,509
1589,696
1592,4118
1593,1115
1594,898
1595,1217
1596,1186
1597,6
1599,2343
1600,2988
1601,541
1602,5
1603,6
1604,5
1605,439
1606,2400
1607,5
1608,5
1612,198
1613,3537
1614,715
1615,556
1616,1312
1617,577
1620,1801
1623,15609
1624,15152
1625,8697
1627,13061
1628,87
1629,98
1633,1445
1634,8184
1635,4141
1637,280
1638,75
1639,127
1640,12131
1642,1630
1643,190
1644,5018
1645,7883
1647,483
1649,3906
1650,1867
1652,441
1653,6327
1654,201
1655,406
1656,480
1657,1576
1658,504
1659,809
1660,1388
1661,1310
1662,549
1663,42
1664,702
1669,278
1676,1820
1677,2197
1679,3278
1680,1515
1683,459
1684,334
1685,1561
1686,1877
1687,1975
1688,275
1689,5
1690,712
1691,13
1692,5
1694,5
1695,5636
1696,5
1697,2129
1698,1022
1699,5
1700,402
1701,7725
1702,418
1710,149
1711,129
1714,193
1715,10289
1716,756
1717,1042
1718,676
1719,7272
1722,2435
1723,513
1724,1418
1726,1832
1727,2685
1728,891
1729,285
1730,621
1732,1098
1734,1105
1735,897
1737,1463
1738,466
1740,115
1742,8
1743,8
1746,713
1747,29
1748,942
1749,712
1750,5159
1751,553
1752,1587
1754,142
1755,6201
1756,3392
1758,1055
1759,319
1760,1498
1761,961
1762,2105
1763,156
1764,389
1765,29
1767,1857
1768,8
1770,8202
1773,3832
1774,2113
1776,3558
1777,106
1778,2486
1779,8
1781,107
1784,10316
1786,2568
1787,122
1788,11
1789,1471
1790,2867
1791,6429
1793,106
1794,120
1797,2246
1799,9
1800,6413
1802,353
1805,9779
1806,16993
1807,9
1810,397
1812,9206
1814,11847
1822,5421
1825,1340
1826,87
1827,102
1828,8943
1832,535
1834,1473
1835,790
1837,2076
1839,798
1840,773
1841,4441
1842,4460
1844,8314
1845,33391
1847,1151
1851,798
1853,1078
1854,4250
1857,4647
1859,15331
1862,7
1864,2736
1866,359
1869,1554
1870,44
1871,2510
1872,775
1873,524
1874,2312
1875,478
1878,910
1879,931
1880,382
1881,6028
1884,4851
1887,89
1890,5718
1893,2125
1894,203
1896,1585
1897,5596
1902,9729
1905,1556
1908,695
1909,1777
1910,3878
1911,1166
1912,1074
1913,4
1914,14677
1915,2048
1916,233
1919,30
1920,20
1921,22523
1923,2390
1924,549
1925,1765
1926,2432
1927,576
1928,4
1930,13260
1931,15
1933,1142
1934,1689
1935,4
1937,3277
1938,10202
1939,1600
1940,267
1941,1054
1942,9587
1943,6467
1944,3304
1946,1481
1947,32
1948,2697
1949,572
1950,20706
1955,5006
1957,3081
1960,307
1962,3034
1963,2178
1965,8191
1966,2762
1967,3069
1968,2792
1969,5135
1970,9258
1971,6072
1973,16029
1974,81
1975,5229
1979,6682
1980,10946
1985,4
1986,412
1988,2915
1990,93
1991,10
1994,4
1997,6800
1998,17254
2003,1935
2004,23
2006,9678
2007,7137
2009,4180
2011,12938
2014,433
2015,2079
2017,3134
2018,2866
2019,1993
2020,1827
2021,950
2023,5403
2024,1008
2025,673
2027,1228
2028,6
2029,5605
2030,13358
2032,1477
2037,3165
2038,350
2039,2158
2041,3773
2042,5955
2047,7146
2049,1797
2052,3239
2053,2431
2058,18
2061,2405
2062,2928
2063,935
2064,3974
2065,8441
2067,12825
2070,6391
2075,3673
2076,4021
2077,1744
2078,4804
2079,3
2080,1620
2082,2196
2083,1681
2084,3441
2085,21254
2086,262
2087,4
2088,5334
2089,2605
2093,359
2099,1137
2100,1648
2101,3572
2102,3140
2103,5302
2104,1889
2106,2730
2108,1774
2110,1963
2112,2092
2113,1616
2114,3211
2115,5411
2116,12115
2117,3529
2118,1652
2120,268
2122,12991
2123,4
2125,490
2126,5930
2127,24
2128,3
2129,1775
2130,10539
2134,5601
2136,2027
2137,2460
2138,5
2139,79
2140,14646
2141,9374
2142,68
2144,19525
2147,3028
2148,9752
2151,926
2152,4760
2154,19201
2161,708
2162,6844
2163,1341
2164,2
2165,2
2166,28
2167,3913
2170,18
2171,1392
2174,6626
2175,17522
2176,13340
2178,7621
2179,1568
2180,794
2185,12499
2186,2446
2187,6657
2192,85
2193,1306
2194,127
2195,151
2196,79
2197,5375
2198,1204
2201,2427
2202,4915
2204,5103
2207,2396
2208,2846
2209,5
2210,3429
2215,8437
2216,9600
2217,4577
2218,1972
2219,9829
2221,3672
2222,4542
2224,112
2226,1367
2230,2992
2233,2857
2234,3286
2235,776
2236,3583
2237,1496
2238,1447
2241,7106
2244,1497
2245,1136
2246,2890
2250,1518
2251,2285
2257,15593
2264,99
2268,3256
2273,11012
2274,4253
2275,2404
2279,130
2282,1645
2284,1323
2286,4125
2287,2239
2288,1697
2289,2041
2296,6050
2299,534
2303,8937
2304,959
2308,10759
2310,5690
2313,940
2314,4707
2315,129
2316,848
2319,8
2321,9238
2322,508
2323,1387
2326,86
2328,5439
2329,261
2330,762
2331,9
2332,53
2333,1135
2335,1189
2338,4916
2339,777
2340,761
2341,4008
2343,1675
2345,2342
2346,832
2348,4530
2349,4089
2357,8820
2358,8143
2360,645
2362,10540
2363,1126
2369,4835
2371,1818
2372,238
2376,2474
2377,11111
2380,2725
2381,198
2382,10494
2383,720
2384,1503
2386,12378
2388,16957
2389,670
2391,932
2392,1767
2393,7142
2395,106
2396,4327
2397,5084
2398,1220
2400,9664
2402,6597
2403,8956
2405,2594
2406,1993
2408,3447
2411,5647
2414,1819
2416,3038
2417,3432
2418,79
2421,5
2422,6311
2425,13354
2427,1052
2428,5544
2429,4
2431,2242
2433,2325
2439,710
2440,2362
2441,472
2443,2240
2444,3739
2447,6810
2448,347
2452,15
2457,7677
2459,4
2460,14072
2466,3086
2467,4126
2470,4
2471,272
2472,2862
2473,1519
2474,1167
2475,453
2476,567
2477,783
2482,2599
2483,43
2484,6
2487,370
2490,682
2493,7464
2494,7867
2499,3845
25,15305
2500,443
2501,12
2502,300
2503,3982
2504,20083
2506,371
2508,14522
2510,2786
2511,1068
2512,2218
2514,1342
2519,1050
2524,2840
2526,432
2528,1131
2529,289
2536,354
2543,2675
2544,1506
2546,1969
2547,14098
2551,1153
2553,802
2558,246
2559,727
2560,2968
2563,4885
2564,104
2573,1182
2575,6907
2577,968
2578,4
2580,7
2581,1546
2582,4
2583,1248
2593,4184
2594,12407
2597,2827
2598,1915
2602,266
2604,54
2605,72
2606,566
2607,1113
2608,1802
2609,1745
2610,1227
2613,1384
2616,2166
2618,675
2619,545
2620,277
2621,672
2622,696
2623,347
2624,2231
2626,831
2627,5057
2628,1638
2629,1231
2630,472
2632,2133
2633,6
2634,633
2635,2284
2637,3913
2639,1846
2640,6204
2641,450
2642,7869
2645,1553
2646,1014
2654,286
2661,904
2662,766
2663,15
2665,1025
2667,625
2668,961
2670,1576
2671,2223
2673,2185
2674,1140
2676,5313
2677,374
2678,3904
2679,97
2680,155
2681,2228
2684,168
2685,752
2686,893
2687,749
2689,347
2690,23
2691,438
2692,688
2695,2616
2696,336
2699,303
2700,406
2701,5534
2702,39
2703,7265
2704,8083
2705,4922
2707,197
2709,4224
2710,12
2712,1725
2714,1249
2715,2774
2716,594
2717,1746
2719,222
2720,1361
2722,998
2723,7743
2724,2513
2726,1076
2729,133
2732,451
2733,93
2734,43
2735,7
2736,20312
2739,261
2740,642
2741,1208
2742,9
2745,3385
2747,1991
2752,7040
2753,2272
2754,437
2756,3103
2758,2457
2761,4011
2762,475
2763,2177
2764,451
2766,2264
2767,4599
2769,475
2770,747
2778,7593
2779,6054
2780,1789
2781,4211
2782,4675
2783,2187
2784,6746
2785,779
2786,4099
2787,12133
2790,1424
2792,7598
2795,2033
2799,1166
2800,17
2802,1117
2807,5019
2809,4
2810,491
2812,2044
2813,2336
2815,2479
2819,3769
2820,733
2822,12
2823,1722
2824,1133
2826,429
2827,26
2830,611
2833,20
2834,6394
2835,2354
2836,1881
2838,2233
2839,7213
2840,583
2844,3916
2846,14
2847,14142
2851,2179
2853,393
2856,792
2858,1841
2861,11243
2862,1070
2864,9855
2865,849
2866,1913
